# stack_id	version	os_type	arch_id	primary_package	checksum_type	checksum	download_url	related_package_1	related_package_1_checksum_type	related_package_1_checksum	related_package_2	related_package_2_checksum_type	related_package_2_checksum	status	notes
mysql	5.7.26	all	all	mysql-5.7.26-linux-glibc2.12-x86_64.tar.gz	md5	08a3b385db2f151598017b63fbcb6c43	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.26-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.27	all	all	mysql-5.7.27-linux-glibc2.12-x86_64.tar.gz	md5	020b17fcbe79df8d59811f638d89df0e	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.27-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.28	all	all	mysql-5.7.28-linux-glibc2.12-x86_64.tar.gz	md5	1daa30a32b99a92062f481bd3ef8694c	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.28-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.29	all	all	mysql-5.7.29-linux-glibc2.12-x86_64.tar.gz	md5	60d95c0e76b700cee5b05eb96b5b97a2	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.29-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.30	all	all	mysql-5.7.30-linux-glibc2.12-x86_64.tar.gz	md5	611be3b18a30498b705db773293ad341	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.30-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.31	all	all	mysql-5.7.31-linux-glibc2.12-x86_64.tar.gz	md5	bf1a97232dbab450cf73356fc74a02a3	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.31-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.32	all	all	mysql-5.7.32-linux-glibc2.12-x86_64.tar.gz	md5	63f400a1c3727996176451c7f7457992	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.32-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.33	all	all	mysql-5.7.33-linux-glibc2.12-x86_64.tar.gz	md5	0884a3562e89fd8acc82c37d3b52ad3b	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.33-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.34	all	all	mysql-5.7.34-linux-glibc2.12-x86_64.tar.gz	md5	cdf3bec90f7dd576397b23d1ddb399c5	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.34-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.35	all	all	mysql-5.7.35-linux-glibc2.12-x86_64.tar.gz	md5	66bd4334ea109fffd4b615f2d8fa8358	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.35-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.36	all	all	mysql-5.7.36-linux-glibc2.12-x86_64.tar.gz	md5	1748ec2c8b5ca1bcf8ba3b1f5e956139	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.36-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.37	all	all	mysql-5.7.37-linux-glibc2.12-x86_64.tar.gz	md5	423915249cc67bbfa75223d9753cde77	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.37-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.38	all	all	mysql-5.7.38-linux-glibc2.12-x86_64.tar.gz	md5	9bd4d73ee7ed3b4eaa5cd55764c792d3	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.38-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.39	all	all	mysql-5.7.39-linux-glibc2.12-x86_64.tar.gz	md5	79b971fc3e3368f2a1e07fbafae0b914	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.39-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.40	all	all	mysql-5.7.40-linux-glibc2.12-x86_64.tar.gz	md5	ce0ef7b9712597f44f4ce9b9d7414a24	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.40-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.41	all	all	mysql-5.7.41-linux-glibc2.12-x86_64.tar.gz	md5	501a7f6f25246b178fef90321391891c	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.41-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.42	all	all	mysql-5.7.42-linux-glibc2.12-x86_64.tar.gz	md5	c00530249e4bf6899d1fbf6d3fed4897	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.42-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.43	all	all	mysql-5.7.43-linux-glibc2.12-x86_64.tar.gz	md5	4f49e175c5e9cd22fbf1655537a18125	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.43-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	5.7.44	all	all	mysql-5.7.44-linux-glibc2.12-x86_64.tar.gz	md5	d7c8436bbf456e9a4398011a0c52bc40	https://downloads.mysql.com/archives/get/p/23/file/mysql-5.7.44-linux-glibc2.12-x86_64.tar.gz	-	none	-	-	none	-	supported	MySQL 5.7 archive package.
mysql	8.0.21	all	all	mysql-8.0.21-linux-glibc2.17-x86_64-minimal.tar.xz	md5	b67522852b142038056f3c4e9dd1e8cf	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.21-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.22	all	all	mysql-8.0.22-linux-glibc2.17-x86_64-minimal.tar.xz	md5	784fcd37010a05d85a18b4b779b52105	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.22-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.23	all	all	mysql-8.0.23-linux-glibc2.17-x86_64-minimal.tar.xz	md5	1ff5fe9f2b5c57b1aa181d0922ac42aa	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.23-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.24	all	all	mysql-8.0.24-linux-glibc2.17-x86_64-minimal.tar.xz	md5	ff9c0d623c7568a645473200b7c1aba7	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.24-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.25	all	all	mysql-8.0.25-linux-glibc2.17-x86_64-minimal.tar.xz	md5	c47742291e9ae9693e6cf6543ed6a689	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.25-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.26	all	all	mysql-8.0.26-linux-glibc2.17-x86_64-minimal-rebuild.tar.xz	md5	d830538cb6644100275a013541a9f129	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.26-linux-glibc2.17-x86_64-minimal-rebuild.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.27	all	all	mysql-8.0.27-linux-glibc2.17-x86_64-minimal.tar.xz	md5	19aeabf7135649159c109e46781dc5c5	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.27-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.28	all	all	mysql-8.0.28-linux-glibc2.17-x86_64-minimal.tar.xz	md5	55a7759e25cc527416150c8181ce3f6d	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.28-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.30	all	all	mysql-8.0.30-linux-glibc2.17-x86_64-minimal.tar.xz	md5	aa8ee8618832627d036cd234b769761d	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.30-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.31	all	all	mysql-8.0.31-linux-glibc2.17-x86_64-minimal.tar.xz	md5	8f763c0d32f19d385d84eca9f90a642a	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.31-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.32	all	all	mysql-8.0.32-linux-glibc2.17-x86_64-minimal.tar.xz	md5	b553a35e0457e9414137adf78e67827d	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.32-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.33	all	all	mysql-8.0.33-linux-glibc2.17-x86_64-minimal.tar.xz	md5	377b6ae9c88a698438a19d67efa03252	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.33-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.34	all	all	mysql-8.0.34-linux-glibc2.17-x86_64-minimal.tar.xz	md5	d7f6f063dbc39655f5ccaefa76569ebe	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.34-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	MySQL 8.0 glibc2.17 minimal package.
mysql	8.0.35	non-Rocky9	all	mysql-8.0.35-linux-glibc2.17-x86_64-minimal.tar.xz	md5	d9ce0f4ee9a4dde3c5259898f245f496	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.35-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
mysql	8.0.35	Rocky9	all	mysql-8.0.35-linux-glibc2.28-x86_64.tar.xz	md5	9c1193dc4ac5c6dd474f94c26e4fc9e0	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.35-linux-glibc2.28-x86_64.tar.xz	-	none	-	-	none	-	supported	Rocky9 uses the glibc2.28 non-minimal MySQL package.
mysql	8.0.36	non-Rocky9	all	mysql-8.0.36-linux-glibc2.17-x86_64-minimal.tar.xz	md5	35bfbebdd7985b5687752eac4ba459ae	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.36-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
mysql	8.0.36	Rocky9	all	mysql-8.0.36-linux-glibc2.28-x86_64.tar.xz	md5	597a7520a80323b7d1819f0bad678324	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.36-linux-glibc2.28-x86_64.tar.xz	-	none	-	-	none	-	supported	Rocky9 uses the glibc2.28 non-minimal MySQL package.
mysql	8.0.37	non-Rocky9	all	mysql-8.0.37-linux-glibc2.17-x86_64-minimal.tar.xz	md5	797b3cc80b91f4450ef9942bc01cb2ff	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.37-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
mysql	8.0.37	Rocky9	all	mysql-8.0.37-linux-glibc2.28-x86_64.tar.xz	md5	4ef87d5f5160a6565e767ec10002ce74	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.37-linux-glibc2.28-x86_64.tar.xz	-	none	-	-	none	-	supported	Rocky9 uses the glibc2.28 non-minimal MySQL package.
mysql	8.0.39	non-Rocky9	all	mysql-8.0.39-linux-glibc2.17-x86_64-minimal.tar.xz	md5	8b268e53998e662d46dfc57292e08993	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.39-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
mysql	8.0.39	Rocky9	all	mysql-8.0.39-linux-glibc2.28-x86_64.tar.xz	md5	2c784d6d6fcf37bb289ec20aa78f3518	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.39-linux-glibc2.28-x86_64.tar.xz	-	none	-	-	none	-	supported	Rocky9 uses the glibc2.28 non-minimal MySQL package.
mysql	8.0.40	non-Rocky9	all	mysql-8.0.40-linux-glibc2.17-x86_64-minimal.tar.xz	md5	230b11ab4dbd84f1a3349559e6ed6bec	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.40-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
mysql	8.0.40	Rocky9	all	mysql-8.0.40-linux-glibc2.28-x86_64.tar.xz	md5	dcf2702f953d1969be44083f4f063f18	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.40-linux-glibc2.28-x86_64.tar.xz	-	none	-	-	none	-	supported	Rocky9 uses the glibc2.28 non-minimal MySQL package.
mysql	8.0.41	non-Rocky9	all	mysql-8.0.41-linux-glibc2.17-x86_64-minimal.tar.xz	md5	ddca95d04bfd71b917d48726a219d7fd	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.41-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
mysql	8.0.41	Rocky9	all	mysql-8.0.41-linux-glibc2.28-x86_64.tar.xz	md5	104a0fd19112c53705c1f4e41ae5b61a	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.41-linux-glibc2.28-x86_64.tar.xz	-	none	-	-	none	-	supported	Rocky9 uses the glibc2.28 non-minimal MySQL package.
mysql	8.0.42	non-Rocky9	all	mysql-8.0.42-linux-glibc2.17-x86_64-minimal.tar.xz	md5	f20ced98976b68e787ddffe3662d687d	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.42-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
mysql	8.0.42	Rocky9	all	mysql-8.0.42-linux-glibc2.28-x86_64.tar.xz	md5	538adf1ba2116c1a51bbe501d4429af4	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.42-linux-glibc2.28-x86_64.tar.xz	-	none	-	-	none	-	supported	Rocky9 uses the glibc2.28 non-minimal MySQL package.
mysql	8.0.43	non-Rocky9	all	mysql-8.0.43-linux-glibc2.17-x86_64-minimal.tar.xz	md5	4e637786807ea06006cf7a600f897b45	https://downloads.mysql.com/archives/get/p/23/file/mysql-8.0.43-linux-glibc2.17-x86_64-minimal.tar.xz	-	none	-	-	none	-	supported	Default MySQL 8.0 package for supported non-Rocky9 targets.
